event,value,timestamp
IBI,986,2022-10-18T19:03:23.371392
HR,63,2022-10-18T19:03:23.377653
IBI,999,2022-10-18T19:03:24.591524
HR,62,2022-10-18T19:03:24.592088
IBI,1000,2022-10-18T19:03:25.400991
HR,62,2022-10-18T19:03:25.402233
IBI,959,2022-10-18T19:03:26.613520
HR,62,2022-10-18T19:03:26.616946
IBI,980,2022-10-18T19:03:26.616946
HR,62,2022-10-18T19:03:26.617950
IBI,990,2022-10-18T19:03:27.421051
HR,62,2022-10-18T19:03:27.427203
IBI,941,2022-10-18T19:03:28.640995
HR,62,2022-10-18T19:03:28.642509
IBI,957,2022-10-18T19:03:29.443734
HR,62,2022-10-18T19:03:29.452485
IBI,973,2022-10-18T19:03:30.664248
HR,62,2022-10-18T19:03:30.667003
IBI,931,2022-10-18T19:03:31.467045
HR,62,2022-10-18T19:03:31.467045
IBI,915,2022-10-18T19:03:32.685658
HR,62,2022-10-18T19:03:32.685658
IBI,949,2022-10-18T19:03:33.486949
HR,62,2022-10-18T19:03:33.502023
IBI,940,2022-10-18T19:03:34.707163
HR,63,2022-10-18T19:03:34.717310
IBI,894,2022-10-18T19:03:35.526144
HR,63,2022-10-18T19:03:35.526957
IBI,902,2022-10-18T19:03:36.730405
HR,63,2022-10-18T19:03:36.741029
IBI,921,2022-10-18T19:03:37.547089
HR,64,2022-10-18T19:03:37.550966
IBI,875,2022-10-18T19:03:37.550966
HR,64,2022-10-18T19:03:37.550966
IBI,841,2022-10-18T19:03:38.355129
HR,64,2022-10-18T19:03:38.355129
IBI,879,2022-10-18T19:03:39.573111
HR,65,2022-10-18T19:03:39.575943
IBI,891,2022-10-18T19:03:40.374971
HR,65,2022-10-18T19:03:40.374971
IBI,869,2022-10-18T19:03:41.592731
HR,65,2022-10-18T19:03:41.601352
IBI,894,2022-10-18T19:03:42.411127
HR,66,2022-10-18T19:03:42.411127
IBI,944,2022-10-18T19:03:43.613878
HR,66,2022-10-18T19:03:43.627546
IBI,964,2022-10-18T19:03:44.434803
HR,66,2022-10-18T19:03:44.437007
IBI,955,2022-10-18T19:03:45.645512
HR,66,2022-10-18T19:03:45.645512
IBI,987,2022-10-18T19:03:46.455815
HR,65,2022-10-18T19:03:46.462488
IBI,1003,2022-10-18T19:03:47.676436
HR,65,2022-10-18T19:03:47.678572
IBI,936,2022-10-18T19:03:48.484576
HR,64,2022-10-18T19:03:48.486822
IBI,940,2022-10-18T19:03:49.695022
HR,64,2022-10-18T19:03:49.701840
IBI,941,2022-10-18T19:03:50.508880
HR,64,2022-10-18T19:03:50.508880
IBI,911,2022-10-18T19:03:50.512558
HR,64,2022-10-18T19:03:50.512558
IBI,887,2022-10-18T19:03:51.713087
HR,64,2022-10-18T19:03:51.726873
IBI,906,2022-10-18T19:03:52.531105
HR,64,2022-10-18T19:03:52.537418
IBI,909,2022-10-18T19:03:53.750160
HR,65,2022-10-18T19:03:53.752052
IBI,887,2022-10-18T19:03:55.370834
HR,65,2022-10-18T19:03:55.372036
IBI,900,2022-10-18T19:03:55.373122
HR,65,2022-10-18T19:03:55.373122
IBI,946,2022-10-18T19:03:56.575315
HR,65,2022-10-18T19:03:56.588417
IBI,925,2022-10-18T19:03:57.394006
HR,65,2022-10-18T19:03:57.397575
IBI,909,2022-10-18T19:03:58.598423
HR,65,2022-10-18T19:03:58.612688
IBI,938,2022-10-18T19:03:59.417087
HR,65,2022-10-18T19:03:59.422116
IBI,973,2022-10-18T19:04:00.621005
HR,65,2022-10-18T19:04:00.636564
IBI,930,2022-10-18T19:04:01.445853
HR,65,2022-10-18T19:04:01.447026
IBI,948,2022-10-18T19:04:02.649498
HR,65,2022-10-18T19:04:02.661783
IBI,972,2022-10-18T19:04:03.591482
HR,65,2022-10-18T19:04:03.591482
IBI,959,2022-10-18T19:04:04.684137
HR,64,2022-10-18T19:04:04.686901
IBI,944,2022-10-18T19:04:05.487219
HR,64,2022-10-18T19:04:05.487219
IBI,957,2022-10-18T19:04:05.497370
HR,64,2022-10-18T19:04:05.497370
IBI,967,2022-10-18T19:04:06.705896
HR,64,2022-10-18T19:04:06.711649
IBI,906,2022-10-18T19:04:07.515068
HR,64,2022-10-18T19:04:07.521072
IBI,928,2022-10-18T19:04:08.735272
HR,64,2022-10-18T19:04:08.737441
IBI,927,2022-10-18T19:04:09.538257
HR,64,2022-10-18T19:04:09.547117
IBI,873,2022-10-18T19:04:10.758358
HR,64,2022-10-18T19:04:10.761730
IBI,878,2022-10-18T19:04:11.562959
HR,64,2022-10-18T19:04:11.572276
IBI,917,2022-10-18T19:04:12.373670
HR,65,2022-10-18T19:04:12.382451
IBI,940,2022-10-18T19:04:13.594401
HR,65,2022-10-18T19:04:13.594401
IBI,938,2022-10-18T19:04:14.403862
HR,65,2022-10-18T19:04:14.407305
IBI,955,2022-10-18T19:04:15.613775
HR,65,2022-10-18T19:04:15.613775
IBI,1006,2022-10-18T19:04:16.422990
HR,65,2022-10-18T19:04:16.422990
IBI,950,2022-10-18T19:04:17.637233
HR,64,2022-10-18T19:04:17.637233
IBI,965,2022-10-18T19:04:18.856780
HR,64,2022-10-18T19:04:18.862286
IBI,994,2022-10-18T19:04:19.659020
HR,64,2022-10-18T19:04:19.671938
